,도서명,저자,번역,출판사,정가,판매가격,소개
1,,,,,,,
2,크리스토퍼 놀란 : 감독이 참여한 첫 공식 도서,"톰 숀, 크리스토퍼 놀란(영화감독) 저 ", 윤철희 역 , 제우미디어 ,"  33,000원 "," 29,700원","  ""모호한 것을 명확하게 보여주고 싶다.""〈메멘토〉, 〈다크 나이트〉, 〈인셉션〉, 〈인터스텔라〉...꿈을 짓고, 시간을 직조해내는 '설계자'거장 크리스토퍼 놀란에게 직접 듣는 비밀자신이 골몰해온 다양한 '개념'을 가장 지적인 형태의 '영화'로 만들어 관객과 게임을 벌이는 감독 크리스토퍼..."
3,작은 아씨들,루이자 메이 알코트(소설가) 저 , 강미경 역 , 알에이치코리아 ,"  16,500원 "," 14,850원","  150년 동안 사랑받은 고전, 『작은 아씨들』을 지금 다시 읽어야 하는 이유! “내가 남자가 아니라는 게 참을 수 없어.”라고 거침없이 외치는 소녀에서, “남자 때문에 서둘러 자유를 포기하고 싶지 않아.”라며 비혼을 선언을 하고 글쓰기에 몰두하는 한 여성이 되기까지...."
4,고백,미나토 가나에(소설가) 저 , 김선영 역 , 비채 ,"  12,770원 "," 11,500원","  열세 살 살인자, 그보다 더 어린 희생자... 그리고 어느 여교사의 충격적인 고백!충격적인 범죄와 복수를 사실적으로 묘사한 미나토 가나에의 작품『고백』. 사고로 딸을 잃은 여교사가 학생들 앞에서 충격적인 이야기를..."
5,82년생 김지영,조남주(소설가) 저 ,, 민음사 ,"  13,000원 ",,"  공포, 피로, 당황, 놀람, 혼란, 좌절의 연속에 대한 한국 여자의 인생 현장 보고서!문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품 『82년생 김지영』. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로..."
6,라플라스의 마녀,히가시노 게이고(작가) 저 , 양윤옥(번역가) 역 , 현대문학 ,"  14,800원 "," 13,300원","  인류의 미지의 영역에 도전한 히가시노 게이고의 80번째 작품!히가시노 게이고 작가 데뷔 30주년 기념작 『라플라스의 마녀』. 그동안 치밀한 트릭과 반전이 빛나는 본격 추리소설부터 우리 시대의 문제점을 파고든 사회파 작품, 서스펜스, 판타지, SF에 이르기까지 다양한 장르를 오가며..."
7,인어가 잠든 집,히가시노 게이고(작가) 저 , 김난주(번역가) 역 , 재인 ,"  17,800원 "," 16,020원","  지금 이 아이의 가슴에 칼을 꽂는다면, 그래서 아이의 심장이 멈춘다면, 딸을 죽인 사람은 저입니까?‘인간이란 무엇이며 삶과 죽음, 사랑의 정의는 무엇인가’라는 난제에 도전한 히가시노 게이고의 휴먼 미스터리 『인어가 잠든 집』. 히가시노 게이고의 작가 데뷔 30주년을 기념해 2015년에..."
8,[큰글자도서] 위대하고 위험한 약 이야기,정진호 저 ,, 푸른숲 ,"  30,000원 "," 27,000원","  건강과 행복을 위해 무엇을 믿고, 무엇을 믿지 말아야 할까? 세계적 독성학자 정진호 교수가 들려주는 약의 모든 것 진시황은 영원한 젊음을 꿈꿨다. 불로장생약에 병적으로 집착했던 그는 불로초를 구하러 간 서복이 돌아오지 않자 대신 수은이 들어간 탕약을 먹었다. 독성이..."
9,고 녀석 맛있겠다,미야니시 타츠야(동화작가) 저 , 백승인 역 , 달리 ,"  11,000원 "," 9,900원","  육식공룡 아빠와 초식공룡 아기의 유쾌한 동거!육식공룡 아빠와 초식공룡 아기가 만들어가는 낭만적인 사랑이야기를 담은 그림책. 화산이 쿵쿵쿵 터지는 아주 먼 옛날, 아기 초식공룡 한 마리가 알에서 깨어납니다. 그런데..."
10,로또9단 1등 분석기법(큰글씨도서),로또9단(온라인콘텐츠창작자) 저 ,, 푸른e미디어 ,"  19,800원 "," 17,820원","  과학적 분석으로 로또 1등에 도전한다! 『로또9단 1등 분석기법』의 모든 내용은 유튜브 [로또9단]에서 로또 분석가로 3년을 활동하며 실전에서 검증한 내용들이다. 2020년 6~11월까지 6개월의 짧은 기간 동안에만 2등 5명, 3등 70명을 배출시켰던 확실히 검증된 실전 분석기법이므로 끝까지 읽은..."
11,[큰글자도서] 어린이라는 세계,김소영 저 ,, 사계절 ,"  27,000원 "," 24,300원","  어린이에 대해 생각할수록 우리의 세계는 넓어진다 어린이는 잘 보이지 않는다. 몸이 작아서이기도 하고, 목소리가 작아서이기도 하다. 양육이나 교육, 돌봄을 맡고 있는 사람이 아니라면 우리 곁에 어린이가 ‘있다’는 사실을 의식하지 못한 채 살아가기 쉽다. 10년 남짓 어린이책..."
12,내 아이를 위한 사랑의 기술,"존 가트맨(심리학자), 남은영 저 ",, 한국경제신문 ,"  13,000원 "," 11,700원","  “얘야, 행복하니?”자녀 교육의 신개념 ‘감정코치’ MBC 스페셜 <내 아이를 위한 사랑의 기술> 원작 도서, 드디어 한국어판 출간!... 인터넷 홈페이지에서 관련 도서로 추천한 책은 금세 주요 대형 서점 베스트셀러로 진입했고, 저자의 원작 도서 문의도 급증했다. MBC 스페셜 2부작 <내..."
13,해를 품은 달 2,정은궐(소설가) 저 ,, 파란미디어 ,"  13,000원 "," 11,700원","  사랑과 권력을 되찾기 위해 가혹한 운명에 맞선 왕!조선 시대 가상의 왕과 액받이 무녀의 애절한 사랑을 그린 역사 로맨스 소설 『해를 품은 달』 제2권. <성균관 유생들의 나날>, <규장각 각신들의 나날>의 작가..."
14,해를 품은 달 1,정은궐(소설가) 저 ,, 파란미디어 ,"  13,000원 "," 11,700원","  사랑과 권력을 되찾기 위해 가혹한 운명에 맞선 왕!조선 시대 가상의 왕과 액받이 무녀의 애절한 사랑을 그린 역사 로맨스 소설 『해를 품은 달』 제1권. <성균관 유생들의 나날>, <규장각 각신들의 나날>의 작가..."
15,사도의 8일 (큰글자도서),조성기 저 ,, 한길사 ," 28,000원",,  문학을 통해 다시 한 번 새로운 시선으로 사도세자를 만나다!오랫동안 아버지 영조에게 버림받은 광인으로 기억된 사도세자를 깊이 있는 통찰과 역사적 사실을 바탕으로 더욱 입체적인 인물로 재탄생시킨 『사도의 8일』. 사도세자와 혜경궁 홍씨의 관점에서 돌아본 뒤주 8일간의 기록을 담은...
16,[큰글자도서] 나의 첫 투자 수업 1 : 마인드편,"김정환, 김이안 저 ",, 트러스트북스 ," 34,000원",,"  한국인이 가장 사랑하는 주식 멘토 1위, 누적조회수 3천5백만을 기록한 화제의 명강의! 유튜브 채널 개설 5개월 만에 구독자 45만 돌파, 주린이들의 절대적 지지를 받고 있는 대한민국 대표 가치 투자자 슈퍼개미 김정환 대표가 하나뿐인 딸에게 그동안 비밀리에 들려주었던..."
