,작품명,관람등급,방송사,방영시작일,방영종료일,방영일/시간,소개
1,,,,,,,
2,갯마을 차차차,15세이상,tvN, 2021.08.28. ~ 2021.10.17. 16부작 , 2021.08.28. ~ 2021.10.17. 16부작 ,"(토, 일) 오후 09:00",현실주의 치과의사 윤혜진과 만능 백수 홍반장이 짠내 사람내음 가득한 바닷마을 ‘공진’에서 벌이는 티키타카 힐링 로맨스
3,경찰수업,15세이상,KBS2, 2021.08.09. ~ 2021.10.05. 16부작 , 2021.08.09. ~ 2021.10.05. 16부작 ,"(월, 화) 오후 09:30",온몸 다 바쳐 범인을 때려잡는 형사와 똑똑한 머리로 모든 일을 해결하는 해커 출신 범죄자 학생이 경찰대학교에서 교수와 제자의 신분으로 만나 공조 수사를 펼치는 좌충우돌 캠퍼스 스토리
4,속아도 꿈결,15세이상,KBS1, 2021.03.29. ~ 2021.10.01. 120부작 , 2021.03.29. ~ 2021.10.01. 120부작 ,,다른 문화의 두 집안이 부모의 황혼 재혼으로 만나 하나의 가족이 되어가는 이야기
5,"아모르 파티 - 사랑하라, 지금",15세이상,SBS, 2021.04.12. ~ 2021.10.01. 120부작 , 2021.04.12. ~ 2021.10.01. 120부작 ,,"“가족이 전부인 여자 VS 성공이 전부인 여자” 인생 2막 레이스에 뛰어든 극과 극 두 여자의 치열한 한판승부와 절망의 순간, 다시 일어서는 사람들의 인생 리셋 힐링 드라마."
6,오케이 광자매,15세이상,KBS2, 2021.03.13. ~ 2021.09.18. 50부작 , 2021.03.13. ~ 2021.09.18. 50부작 ,,부모의 이혼 소송 중 벌어진 엄마의 피살 사건에 가족 모두가 살인 용의자로 지목되며 시작하는 미스터리 스릴러 멜로 코믹 홈드라마
7,슬기로운 의사생활 시즌2,15세이상,tvN, 2021.06.17. ~ 2021.09.16. 12부작 , 2021.06.17. ~ 2021.09.16. 12부작 ,,"누군가는 태어나고 누군가는 삶을 끝내는, 인생의 축소판이라 불리는 병원에서 평범한 듯 특별한 하루하루를 살아가는 사람들과 눈빛만 봐도 알 수 있는 20년지기 친구들의 케미스토리를 담은 드라마"
8,펜트하우스 3,완결,SBS, 2021.06.04. ~ 2021.09.10. 14부작 , 2021.06.04. ~ 2021.09.10. 14부작 ,,"채워질 수 없는 일그러진 욕망으로 집값 1번지, 교육 1번지에서 벌이는 서스펜스 복수극! 자식을 지키기 위해 악녀가 될 수밖에 없었던 여자들의 연대와 복수를 그린 이야기!"
9,,,,,,,
10,이벤트를 확인하세요,15세이상,MBC, 2021.08.14. ~ 2021.09.04. 4부작 , 2021.08.14. ~ 2021.09.04. 4부작 ,,헤어진 연인이 이벤트로 당첨된 커플 여행에 참여하게 되면서 펼쳐지는 감성 트립 멜로드라마
11,미치지 않고서야,15세이상,MBC, 2021.06.23. ~ 2021.08.26. 16부작 , 2021.06.23. ~ 2021.08.26. 16부작 ,,격변하는 직장 속에서 살아남기 위해 몸부림치는 n년 차 직장인들의 치열한 생존기를 그린 드라마
12,너는 나의 봄,15세이상,tvN, 2021.07.05. ~ 2021.08.24. 16부작 , 2021.07.05. ~ 2021.08.24. 16부작 ,,저마다의 일곱 살을 가슴에 품은 채 '어른'이라는 이름으로 살아가는 이들이 살인사건이 일어난 건물에 모여 살게 되며 시작되는 이야기
13,악마판사,15세이상,tvN, 2021.07.03. ~ 2021.08.22. 16부작 , 2021.07.03. ~ 2021.08.22. 16부작 ,,"가상의 디스토피아 대한민국, 전 국민이 참여하는 라이브 법정 쇼와 함께 등장한 '악마판사' 강요한. 그는 모두가 원하는 영웅인가, 법관의 가면을 쓴 악마인가?"
14,"알고있지만,",15세이상,JTBC, 2021.06.19. ~ 2021.08.21. 10부작 , 2021.06.19. ~ 2021.08.21. 10부작 ,,사랑은 못 믿어도 연애는 하고 싶은 여자 유나비와 연애는 성가셔도 썸은 타고 싶은 남자 박재언의 로맨스를 그린 드라마
15,라켓소년단,15세이상,SBS, 2021.05.31. ~ 2021.08.09. 16부작 , 2021.05.31. ~ 2021.08.09. 16부작 ,,"배드민턴계의 아이돌을 꿈꾸는 라켓소년단의 소년체전 도전기이자, 땅끝마을 농촌에서 펼쳐지는 열여섯 소년소녀들의 레알 성장드라마"
