,신문사url,기사타이틀,기사url,요약기사
1,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 15:00,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012727231,"■ '대장동 키맨' 남욱, 귀국편 탑승…""들어가서 소상히 말씀"" 미국에 체류 중이던 대장동 개발 로비·특혜 의혹의 핵심 인물 남욱 변호사가 17일 오후(현지시간) 한국행 비행기에 탑승했다. 남 변호사는 이날 밤 10시..."
2,http://www.segye.com/,"5대 은행, 10월 말부터 계약 잔금일 이후 전세대출 안 내준다 [뉴스+]",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003629114,연합뉴스 가계대출 수요가 여전히 꺾이지 않은 상황에서 전세대출로 가수요가 몰리는 것을 방지하기 위한 조치로 풀이된다. 5대 시중은행의 가계대출 잔액은 14일 기준 705조6699억원으로 지난해 말(670조1539억원) 대비...
3,http://www.sedaily.com/,"[포토뉴스]이재명 ""유동규에 배신감, 인사권자로 사과""",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003974272,"더불어민주당 대선 후보인 이재명 경기지사가 18일 대장동 의혹과 관련해 ""관련 공직자 일부가 오염되고 민간사업자가 유착했다는 의혹에 대해서는 인사권자로서 깊이 사과드린다""고 말했다. 이 후보는 이날 경기도청에서..."
4,http://www.yonhapnewstv.co.kr/,"[자막뉴스] ""총격·혐오 못 걸러""…잡음 끊이지 않는 페이스북",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=422&aid=0000509625,"전 직원의 내부 고발로 시작된 페이스북의 유해성 논란. ""페이스북의 자체 연구에 따르면 그들은 위험한 콘텐츠를 식별할 수 없습니다. 그 결과 그들이 승인한 위험한 알고리즘은 극단적인 감정·분열을 심화시켰습니다...."
5,http://www.mbn.co.kr/,10월 17일 MBN 종합뉴스 주요뉴스,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001614693,"▶ 전국 곳곳 첫 얼음 내일도 '10월 한파' 서울의 아침 기온이 1도까지 '뚝' 떨어지면서 올들어 처음으로 얼음이 관측됐고, 전국 곳곳에 내려졌던 한파특보는 모두 해제됐습니다. 내일 출근길에도 서울이 4도까지 내려가는..."
6,http://www.nocutnews.co.kr/,"[뉴스쏙:속]지난주 '반팔', 이번주 '패딩'…수요일 또 강추위",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003563768,"필요한 뉴스만 '쏙' 뽑아 '속'도감 있게 전달해드리는 [뉴스쏙:속]입니다.■ 방송 : CBS 김덕기의아침뉴스 (10월18일) ■ 채널 : 표준 FM 98.1 (07:00~07:17) 1. 지난주는 '반팔', 이번주는 '패딩' 지난주까지만 해도 한낮엔 반팔을..."
7,http://www.edaily.co.kr/,[뉴스새벽배송]中 3Q 성장률 오늘 발표…에너지대란 지속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005062521,"다음은 이날 장 개시 전 주목할 만한 주요 뉴스들이다. 오늘 中 3분기 경제성장률 발표 - 중국이 18일... (사진=AP/연합뉴스 제공)◇ 뉴욕증시, 소매판매·실적 호조에 상승 -15일(미 동부시간) 뉴욕증권거래소(NYSE)에서..."
8,http://www.hankookilbo.com/,"[뉴스룸에서] 자영업 ‘오징어게임’, 이대로 둘 건가",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=469&aid=0000635552,"어느덧 ‘위드 코로나’를 검토하는 요즘도 우울한 자영업 뉴스는 계속된다. “확인된 자살자만 22명”(코로나19 대응 전국 자영업자 비대위), “1년 반 사이 자영업자 부채 66조 원 급증”(오세희 소상공인연합회장)..."
9,http://news1.kr/,[뉴스1 PICK] 막 오른 '이재명 국감',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005663154,"경기도지사인 이재명 더불어민주당 대선 후보가 18일 경기도청에서 열린 국회 행정안전위원회의 경기도 국정감사에 출석했다. 여당 대선 후보가 국정감사 증인으로 나오는 것은 유례를 찾기 힘든 일로, 사실상 '대통령..."
10,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 08:00,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012728035,18일 연합뉴스의 경제활동인구조사 마이크로데이터 분석에 따르면 최근 1년(2020년 9월 중순∼2021년 9월 중순) 내에 일을 그만두고 실업자나 비경제활동인구가 된 사람 가운데 직전까지 자영업자로 일했던 사람은...
