,신문사url,기사타이틀,기사url,요약기사
1,https://www.yna.co.kr/,"""이렇게 하면 보복운전""…교통공단, 카드뉴스 배포",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012720691,"도로교통공단은 보복운전 사고를 예방하기 위해 '보복운전의 원인과 유형, 예방과 대처법' 카드<mark>뉴스</mark>를 14일 배포했다. 카드<mark>뉴스</mark>는 보복운전과 난폭운전의 차이점 등을 알기 쉽게 설명했다. 보복운전은 자동차 등을 이용해..."
2,http://www.dt.co.kr/,[뉴스분석] 폐업직면 여행사에 겨우 `산소마스크`,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002700788,"여행산업 활성화 플랜 마련 정부예산 달랑 286억만 확보 재정·인프라 지원 확대 사업 1만6000곳중 1000곳도 안돼 방역 당국의 '위드 코로나' 전환을 앞두고, 정부가 여행 산업 활성화를 위한 대규모 지원 방안을 내놨다...."
3,http://www.munhwa.com/,<뉴스와 시각>李지사의 적반하장과 궤변,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=021&aid=0002488666,김세동 전국부장 대장동 비리 의혹이 연일 터져 나오는 와중에도 이재명 경기지사가 여당 대통령선거 후보로 선출됐다. 경선 기간 내내 파죽지세로 앞서가던 이 지사는 마지막 날인 지난 10일 일반 국민과 당원들이 참여한...
4,http://www.ytn.co.kr/,"[뉴스앤이슈] 이낙연 지지자 일부 반발 ""가처분신청 제출"" 원팀 가능할까?",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001652184,"이 후보는 자기 보호를 위해서는 마귀, 봉고파직, 위리안치 등 기괴한 단어를 끌어다 쓰기까지 하는 궤변의 달인입니다.] [우원식 / 더불어민주당 의원 (TBS 김어준의 <mark>뉴스</mark>공장) : 이재명 후보를 망신 주기 그런 국감을 노릴..."
5,http://news1.kr/,"[뉴스1 ★]이하늬, 하트에 하트를 더한 ‘원더우먼’",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=421&aid=0005656852,‘원더우먼’ 이하늬의 사랑스러운 출근길이 눈길을 끌고 있다. 배우 이하늬는 14일 서울 양천구 SBS에서 열린 파워FM '아름다운 이 아침 김창완입니다'에 출연했다. 이날 라디오 출연은 드라마에서 함께 연기 호흡을...
6,http://www.nocutnews.co.kr/,"[뉴스쏙:속] 이낙연 승복, ""이재명 축하""…원팀은 '험로'",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003562641,"필요한 <mark>뉴스</mark>만 '쏙' 뽑아 '속'도감 있게 전달해드리는 [<mark>뉴스</mark>쏙:속]입니다.■ 방송 : CBS 김덕기의아침<mark>뉴스</mark> (10월14일) ■ 채널 : 표준 FM 98.1 (07:00~07:17) 1. 이낙연 ""경선승복, 이재명 축하""…민주당 원팀은 '험로' 더불어민주당..."
7,http://www.mediatoday.co.kr/,연합뉴스 노재현 기자 32대 노조위원장,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=006&aid=0000110071,연합<mark>뉴스</mark> 노재현 기자가 연합<mark>뉴스</mark> 노조위원장(전국언론노동조합 연합<mark>뉴스</mark>지부장)에 13일 취임했다. 연합<mark>뉴스</mark>지부는 이날 오후 서울 종로구 연합<mark>뉴스</mark> 사옥 대회의실에서 새 집행부 취임식을 열었다. 노재현 신임...
8,http://www.edaily.co.kr/,[뉴스새벽배송]뉴욕 증시 반등…인플레 우려는 여전,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005059658,"다음은 개장 전 주목할 만한 <mark>뉴스</mark>다. ◇ 뉴욕 증시, 대체로 상승 마감 -13일(현지시간) 마켓포인트에 따르면 이날 미국 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30 산업평균지수는 전거래일 대비 보합..."
9,https://www.yna.co.kr/,[뉴스피처] 하다하다 선생님 때리기? 다시 교문 열리자마자 폭주라니,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=001&aid=0012720557,한 여학생이 교사와 대화를 나누는 듯하더니 갑자기 주먹으로 가격합니다. 장애 때문에 보행이 불편한 교사가 바닥에 쓰러진 후에도 구타는 계속되는데요. 지난 6일(현지시간) 미국 루이지애나주 한 고등학교에서...
10,http://www.yonhapnewstv.co.kr/,[30초뉴스] '김정은 얼굴 티셔츠' 북한 공식 행사서 첫 등장,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=422&aid=0000508906,"북한 김정은 국무위원장의 얼굴이 그려진 티셔츠가 북한 공식 행사 석상에 처음으로 등장해 눈길을 끌고 있습니다.어제(12일) 조선중앙TV가 방영한 국방발전전람회 영상을 보면, 행사 개막식 음악 지휘자가 입은 흰색..."
